region,year,GDPpp (k$/p-y),Population (Mp),SDG4 Education (School life expectancy years)
US,1955,,,
US,1960,,,
US,1965,18.410,,
US,1970,22.300,,
US,1975,24.624,,
US,1980,27.352,233.154,13.29787006
US,1985,29.335,244.416,14.36826801
US,1990,33.994,256.282,14.92513307
US,1995,36.619,269.601,15.72942019
US,2000,42.372,286.044,15.72728777
US,2005,47.043,299.161,15.82103596
US,2010,49.063,312.624,16.32738571
US,2015,49.350,323.870,16.59765768
US,2020,49.7,328.9,16.35919257
US,2025,50.2,332.6,16.38967187
US,2030,50.7,335.0,16.42300709
US,2035,51.3,336.4,16.45794001
US,2040,51.9,336.9,16.49353345
US,2045,52.5,336.6,16.52910318
US,2050,53.1,335.5,16.5641617
ORC,1955,,,
ORC,1960,,,
ORC,1965,8.600,,
ORC,1970,11.208,,
ORC,1975,13.870,,
ORC,1980,16.245,641.298,12.44732832
ORC,1985,16.804,657.535,12.74446211
ORC,1990,20.480,673.704,13.3446356
ORC,1995,24.154,690.786,14.37816461
ORC,2000,28.327,703.518,15.38555793
ORC,2005,31.074,719.507,15.75877571
ORC,2010,34.168,736.486,16.00533638
ORC,2015,35.817,747.598,16.61754761
ORC,2020,37.442,749.941,16.15440179
ORC,2025,39.022,750.342,16.2946176
ORC,2030,40.543,748.582,16.41950902
ORC,2035,41.996,744.399,16.53020631
ORC,2040,43.374,737.507,16.6280684
ORC,2045,44.675,727.611,16.71452021
ORC,2050,45.901,714.422,16.79094953
China,1955,,,
China,1960,,,
China,1965,0.989,,
China,1970,1.176,,
China,1975,1.390,,
China,1980,1.605,1016.748,8.631003952
China,1985,2.054,1095.615,7.875053406
China,1990,2.583,1198.882,8.606204224
China,1995,3.306,1267.694,8.930302048
China,2000,4.317,1312.131,9.211754799
China,2005,5.890,1351.537,9.934583346
China,2010,8.750,1390.420,12.15754395
China,2015,11.370,1428.361,13.54093189
China,2020,14.472,1460.033,14.40725087
China,2025,18.010,1483.032,15.32474663
China,2030,21.881,1496.066,16.06237668
China,2035,25.938,1498.196,16.61821748
China,2040,30.019,1488.582,17.01656954
China,2045,33.974,1466.379,17.29269529
China,2050,37.686,1430.756,17.48085541
Emerging,1955,,,
Emerging,1960,,,
Emerging,1965,1.985,,
Emerging,1970,2.488,,
Emerging,1975,3.382,,
Emerging,1980,4.126,603.343,9.928677525
Emerging,1985,4.338,657.836,10.84198227
Emerging,1990,9.671,711.129,11.30674915
Emerging,1995,9.316,750.770,11.0840611
Emerging,2000,9.020,786.491,11.62394615
Emerging,2005,10.135,818.212,13.12100109
Emerging,2010,14.108,852.368,13.53165688
Emerging,2015,16.634,889.611,14.67256101
Emerging,2020,19.444,916.080,15.31086275
Emerging,2025,22.464,936.126,15.86829995
Emerging,2030,25.603,950.303,16.32561797
Emerging,2035,28.765,959.120,16.68716846
Emerging,2040,31.862,963.005,16.96541211
Emerging,2045,34.819,962.291,17.17592117
Emerging,2050,37.585,957.226,17.33387137
Indian Subc,1955,,,
Indian Subc,1960,,,
Indian Subc,1965,1.117,,
Indian Subc,1970,1.213,,
Indian Subc,1975,1.299,,
Indian Subc,1980,1.243,856.323,5.95348516
Indian Subc,1985,1.126,967.086,6.675757708
Indian Subc,1990,1.260,1084.001,6.908675828
Indian Subc,1995,1.486,1202.019,8.183939934
Indian Subc,2000,1.828,1323.155,8.263363202
Indian Subc,2005,2.242,1441.459,8.386294632
Indian Subc,2010,3.305,1553.690,9.936600971
Indian Subc,2015,4.332,1659.635,11.04745561
Indian Subc,2020,5.612,1762.355,10.20729035
Indian Subc,2025,7.205,1857.146,11.10586601
Indian Subc,2030,9.166,1939.070,12.07110264
Indian Subc,2035,11.536,2004.345,13.05908167
Indian Subc,2040,14.324,2050.685,14.01291825
Indian Subc,2045,17.497,2077.230,14.87651106
Indian Subc,2050,20.976,2084.158,15.60986618
ASoS - Africa South of Sahara,1955,,,
ASoS - Africa South of Sahara,1960,,,
ASoS - Africa South of Sahara,1965,2.275,,
ASoS - Africa South of Sahara,1970,2.663,,
ASoS - Africa South of Sahara,1975,3.243,,
ASoS - Africa South of Sahara,1980,3.386,284.062,6.10442758
ASoS - Africa South of Sahara,1985,3.047,328.018,6.860691692
ASoS - Africa South of Sahara,1990,1.940,377.609,6.689364267
ASoS - Africa South of Sahara,1995,1.621,439.232,6.11862944
ASoS - Africa South of Sahara,2000,1.655,499.787,6.402559145
ASoS - Africa South of Sahara,2005,2.071,570.265,7.880452428
ASoS - Africa South of Sahara,2010,2.993,651.765,8.627205647
ASoS - Africa South of Sahara,2015,3.424,746.081,9.323134241
ASoS - Africa South of Sahara,2020,4.004,827.948,7.996953183
ASoS - Africa South of Sahara,2025,4.764,906.400,8.336327827
ASoS - Africa South of Sahara,2030,5.740,980.128,8.755626543
ASoS - Africa South of Sahara,2035,6.977,1047.728,9.261062522
ASoS - Africa South of Sahara,2040,8.521,1107.881,9.853635998
ASoS - Africa South of Sahara,2045,10.415,1159.607,10.5254524
ASoS - Africa South of Sahara,2050,12.681,1202.475,11.25717036
RoW120,1955,,,
RoW120,1960,,,
RoW120,1965,1.182,,
RoW120,1970,1.603,,
RoW120,1975,1.938,,
RoW120,1980,2.338,810.065,6.526274309
RoW120,1985,2.554,905.619,6.873794325
RoW120,1990,3.362,1007.660,7.06219175
RoW120,1995,3.419,1106.195,6.219128116
RoW120,2000,3.840,1205.455,6.762552312
RoW120,2005,4.127,1308.177,7.57454179
RoW120,2010,5.592,1418.267,7.654389653
RoW120,2015,6.977,1539.124,8.415797014
RoW120,2020,8.691,1646.367,10.40495553
RoW120,2025,10.776,1738.977,11.19425496
RoW120,2030,13.253,1815.664,12.02611808
RoW120,2035,16.108,1876.305,12.8597986
RoW120,2040,19.289,1921.717,13.65209633
RoW120,2045,22.703,1953.274,14.36725692
RoW120,2050,26.237,1972.537,14.98374633
World,1955,,,
World,1960,,,
World,1965,3.605,,
World,1970,4.429,,
World,1975,5.173,,
World,1980,5.744,,8.50413208
World,1985,5.817,,8.742379951
World,1990,7.212,,9.06269989
World,1995,7.759,,9.285370064
World,2000,8.693,,9.637953949
World,2005,9.719,,10.29671803
World,2010,11.732,,11.19465008
World,2015,13.130,,12.08903427